21.469334,47.577423,0.000000,3,2017-11-30-16-20-24,1512058824,2017,11,30,16,20,24
21.458609,47.554535,0.000000,3,2017-11-30-16-20-26,1512058826,2017,11,30,16,20,26
21.480059,47.524017,0.000000,3,2017-11-30-16-20-28,1512058828,2017,11,30,16,20,28
21.490784,47.493500,0.000000,3,2017-11-30-16-20-29,1512058829,2017,11,30,16,20,29
21.512234,47.470612,7.420004,3,2017-11-30-16-20-31,1512058831,2017,11,30,16,20,31
21.522959,47.447723,0.000000,3,2017-11-30-16-20-33,1512058833,2017,11,30,16,20,33
21.533684,47.417206,0.000000,3,2017-11-30-16-20-35,1512058835,2017,11,30,16,20,35
21.565859,47.401947,7.279996,3,2017-11-30-16-20-36,1512058836,2017,11,30,16,20,36
21.587309,47.379059,0.000000,3,2017-11-30-16-20-38,1512058838,2017,11,30,16,20,38
21.608759,47.371429,0.000000,3,2017-11-30-16-20-40,1512058840,2017,11,30,16,20,40
21.630211,47.325653,7.000000,3,2017-11-30-16-20-41,1512058841,2017,11,30,16,20,41
21.630211,47.302765,7.279996,3,2017-11-30-16-20-43,1512058843,2017,11,30,16,20,43
21.640936,47.295135,0.000000,3,2017-11-30-16-20-45,1512058845,2017,11,30,16,20,45
21.651661,47.241730,0.000000,3,2017-11-30-16-20-46,1512058846,2017,11,30,16,20,46
21.683836,47.211212,0.000000,3,2017-11-30-16-20-48,1512058848,2017,11,30,16,20,48
21.683836,47.195953,0.000000,3,2017-11-30-16-20-50,1512058850,2017,11,30,16,20,50
21.673111,47.180695,0.000000,3,2017-11-30-16-20-51,1512058851,2017,11,30,16,20,51
21.683836,47.134918,0.000000,3,2017-11-30-16-20-53,1512058853,2017,11,30,16,20,53
21.705286,47.119659,0.000000,3,2017-11-30-16-20-55,1512058855,2017,11,30,16,20,55
21.726736,47.073883,0.000000,3,2017-11-30-16-20-57,1512058857,2017,11,30,16,20,57
21.716011,47.081512,0.000000,3,2017-11-30-16-20-58,1512058858,2017,11,30,16,20,58
21.716011,47.050995,0.000000,3,2017-11-30-16-21-0,1512058860,2017,11,30,16,21,0
21.705286,47.020477,0.000000,3,2017-11-30-16-21-2,1512058862,2017,11,30,16,21,2
21.716011,46.989960,7.140008,3,2017-11-30-16-21-3,1512058863,2017,11,30,16,21,3
21.716011,46.967072,0.000000,3,2017-11-30-16-21-5,1512058865,2017,11,30,16,21,5
21.716011,46.944183,0.000000,3,2017-11-30-16-21-7,1512058867,2017,11,30,16,21,7
21.716011,46.928925,0.000000,3,2017-11-30-16-21-8,1512058868,2017,11,30,16,21,8
21.726736,46.906036,0.000000,3,2017-11-30-16-21-10,1512058870,2017,11,30,16,21,10
21.726736,46.890778,7.279996,3,2017-11-30-16-21-12,1512058872,2017,11,30,16,21,12
21.748186,46.890778,0.000000,3,2017-11-30-16-21-13,1512058873,2017,11,30,16,21,13
21.769636,46.875519,0.000000,3,2017-11-30-16-21-15,1512058875,2017,11,30,16,21,15
21.801811,46.845001,0.000000,3,2017-11-30-16-21-17,1512058877,2017,11,30,16,21,17
21.812536,46.829742,7.140008,3,2017-11-30-16-21-19,1512058879,2017,11,30,16,21,19
21.801811,46.822113,0.000000,3,2017-11-30-16-21-20,1512058880,2017,11,30,16,21,20
